Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Blast! Entertainment Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.38,,,,,,,
Blue Byte,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,
Bohemia Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.15,,,
Bomb,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boost On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
Brash Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21000000000000002,1.23,,,,,,,,
Brightrock Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
Broccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.1,0.13,0.17,0.19,0.44,0.54,0.8,,0.9,0.9600000000000001
BushiRoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,
Bushiroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
CBS Electronics,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCP,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,
CDV Software Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.12,0.16999999999999998,,0.19999999999999998,,,,,
CPG Products,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTO SpA,,,,,,,,,,,,,,,,,0.88,0.9,,,,,,,,,,,,,,,,,,,
Capcom,,,,,,1.0,6.3,7.109999999999999,10.049999999999999,11.719999999999999,15.639999999999999,17.869999999999997,30.269999999999996,35.12,35.279999999999994,,36.62,39.9,43.64,44.52,46.540000000000006,54.580000000000005,64.43,73.56,80.42,93.71000000000001,105.35000000000001,115.9,129.22,148.89,163.26999999999998,170.73999999999998,185.42,193.1,193.42,199.05999999999997,201.17999999999998
Cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.13,0.2,0.30000000000000004,0.32000000000000006,0.33000000000000007,,,
ChunSoft,,,,,,,,,,,,,0.16,0.9400000000000001,1.75,2.15,2.42,,2.51,2.6799999999999997,3.05,,3.4099999999999997,,,,3.4399999999999995,,,3.8699999999999997,3.9099999999999997,4.01,4.069999999999999,,,,
City Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.94,2.8099999999999996,3.8599999999999994,3.8899999999999992,4.539999999999999,4.609999999999999,,
Cloud Imperium Games Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,
Coconuts Japan,,,,,,,,,,,,,,0.05,,,0.07,,,,,,,,,,,,,,,,,,,,
Codemasters,,,,,,,,,,,,,,,,,,2.38,7.96,8.57,9.59,11.18,12.959999999999999,15.35,16.32,17.11,17.34,20.41,23.96,32.39,35.03,40.370000000000005,43.18000000000001,44.89000000000001,46.080000000000005,47.03000000000001,47.87000000000001
Codemasters Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
CokeM Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,
Coleco,,2.79,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,0.13,0.15,,,
Commseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
Compile,,,,,,,,,,,,,,,,0.47,0.49,2.4299999999999997,2.4599999999999995,,,,,,,,,,,,,,,,,,
Compile Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.21000000000000002,0.47000000000000003,0.56,0.79,1.01,1.24,1.35,1.37
Conspiracy Entertainment,,,,,,,,,,,,,,,,,,,,,,0.29000000000000004,0.32000000000000006,,,,,0.39000000000000007,0.54,0.61,0.84,,,,,,
Core Design Ltd.,,,,,,,,,,,,,,,0.19,0.29000000000000004,,,,,,,,,,,,,,,,,,,,,
Crave Entertainment,,,,,,,,,,,,,,,,,,,0.37,1.24,3.6799999999999997,,4.1,4.17,5.37,6.0600000000000005,6.36,6.79,7.32,7.890000000000001,8.600000000000001,9.930000000000001,,,,,
Creative Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06999999999999999,0.09999999999999999,,,,,,,
Crimson Cow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.08,,,,,
Crystal Dynamics,,,,,,,,,,,,,,,,1.12,1.71,,,,,,,,,,,,,,,,,,,,
Culture Brain,,,,,,,,,,,,0.2,,,0.23,,,,,,,,,,,,,,0.25,,0.27,,,,,,
Culture Publishers,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
CyberFront,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.06,0.08,0.19,0.21,0.24,0.27,,,
Cygames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
D3 Publisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,0.17
D3Publisher,,,,,,,,,,,,,,,,,,,1.06,,1.1300000000000001,1.7500000000000002,,,,2.14,3.5100000000000002,9.82,11.85,15.66,20.22,22.18,22.47,23.759999999999998,23.839999999999996,24.049999999999997,24.129999999999995
DHM Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13999999999999999,,0.18,,,,,,,
DSI Games,,,,,,,,,,,,,,,,,,,,,,0.27,,,,0.44000000000000006,0.48000000000000004,0.53,0.62,,,,,,,,
DTP Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,0.25,1.1400000000000001,2.1500000000000004,2.5800000000000005,3.5300000000000007,3.5900000000000007,,,,
Daedalic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.13,,0.28,,,,
Daedalic Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.14,,,
Daito,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22999999999999998,,,,,,,,,,
Data Age,,0.39,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Design Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.25,0.38,0.45,0.52,,,,,,
Data East,,,,,,,,,,,,,,,,0.04,,,0.15,,,,,,,,,,,,,,,,,,
Datam Polystar,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.03,,,,,,,,,
Deep Silver,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.5700000000000001,0.92,0.9600000000000001,3.87,6.42,8.43,15.08,15.72,21.830000000000002,23.720000000000002,24.730000000000004,25.700000000000003
"Destination Software, Inc",,,,,,,,,,,,,,,,,,,,,,0.13,0.15,0.2,0.24000000000000002,0.32,0.38,0.75,0.88,,,,,,,,
Destineer,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.37,1.9100000000000001,3.8000000000000003,4.41,4.49,,,,,
Detn8 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,
Devolver Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.04,
DigiCube,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,
Disney Interactive Studios,,,,,,,,,,,,,,,,,,,,1.94,,,2.19,2.77,6.03,11.670000000000002,17.520000000000003,34.36,56.45,69.74000000000001,90.24000000000001,103.33000000000001,106.17000000000002,113.26000000000002,117.48000000000002,119.96000000000002,
Dorart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,,,
Dovetail Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
DreamCatcher Interactive,,,,,,,,,,,,,,,,,,,,,,0.05,,0.16999999999999998,0.18999999999999997,0.20999999999999996,0.29999999999999993,,0.36999999999999994,0.84,0.95,,,,,,
DreamWorks Interactive,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,
Dusenberry Martin Racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
EA Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,
EA Sports,,,,,,,,,,,,,,,,,,,1.46,,,2.04,3.26,,,,4.09,,,,5.26,,,,,,
EON Digital Entertainment,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,0.42,0.56,,,,0.5900000000000001,,,,,,,,,,,,,,
Easy Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,,,,
Ecole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,
Edia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.09000000000000001,,,,,,,
Eidos Interactive,,,,,,,,,,,,,,,,,5.89,19.44,27.12,39.8,44.36,46.57,54.64,60.71,63.71,71.71,76.08999999999999,82.58999999999999,88.07,98.97999999999999,,,,,,,
Electronic Arts,,,,,,,,,,,,,0.06,,0.71,4.04,11.940000000000001,34.88,64.83,84.97999999999999,110.24999999999999,155.36999999999998,229.03999999999996,308.13,376.0,443.6,502.48,579.02,663.14,749.54,830.92,903.17,953.0699999999999,1006.1899999999999,1052.99,1098.41,1110.66
Electronic Arts Victor,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,
Elf,,,,,,,,,,,,,,,,,0.36,0.64,,,,,,,,,,,,,,,,,,,
Elite,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,
Empire Interactive,,,,,,,,,,,,,,,,,0.41,,0.43999999999999995,0.45999999999999996,1.5999999999999999,2.5999999999999996,4.109999999999999,6.52,8.45,8.91,9.17,10.03,11.29,,,,,,,,
En Masse Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,
Encore,,,,,,,,,,,,,,,,,,,,,,0.03,,0.05,,0.07,,,,,,,,,,,
Encore Software,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
Enix Corporation,,,,,,,,2.56,6.43,,9.55,,12.34,13.49,14.21,17.53,19.32,,,21.810000000000002,27.17,30.080000000000002,31.430000000000003,32.09,33.74,,,,,,,,,,,,
Enjoy Gaming ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
Enterbrain,,,,,,,,,,,,,,,,,,,,,,0.43,0.76,,1.37,,1.53,1.54,1.92,2.05,2.23,,,,,,
Epic Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
Epoch,,,,,,,,,,,,0.08,0.15000000000000002,0.2,,0.71,0.8999999999999999,,,,1.0499999999999998,,,,,,,,,,,,,,,,
Ertain,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
Essential Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.23,,,,,,,,,,
Evolution Games,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,
Evolved Games,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.19,,0.32,0.36,,,,
Excalibur Publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.17,0.31000000000000005,,,,
Experience Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,0.07,0.08
Extreme Entertainment Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
